code,title,genre,age,openDate,rate,participate,actors,story,,,,,,,,,,,,,
201796,디스 아메리카노 : 네이버 영화,,15세 관람가, 2021.09.10,,,변세희,,,,,,,,,,,,,,
207940,디어 에반 핸슨 : 네이버 영화,뮤지컬,,,,,,,,,,,,,,,,,,,
192613,디지몬 어드벤처 라스트 에볼루션 : 인연 : 네이버 영화,애니메이션,,,,,,,,,,,,,,,,,,,
212489,라라와 크리스마스 요정 : 네이버 영화,애니메이션,,,,,,,,,,,,,,,,,,,
186260,라라의 신비한 모험 : 네이버 영화,애니메이션,전체 관람가, 2021.03.18,8,12,김소희,,,,,,,,,,,,,,
201967,라스칼라 갈라 콘서트: 별들을 다시 보려고 : 네이버 영화,,전체 관람가, 2021.02.01,,,,매년 밀라노의 수호성인인 성 암브로지오 축일인 12월 7일에 열리는 밀라노 라스칼라 극장의 시즌 개막 공연은 이탈리아 음악계의 가장 큰 이벤트이지만 코로나 바이러스의 창궐로 인해 일반 관객에게 극장 문을 열 수가 없게 되었고 원래 예정되었던 오페라를 무대에 올릴 수 없게 되었다. 대신,, 엘리나 가란차, 로자 페올라, 프란체스코 멜리 등 20여명의 세계 정상급 성악가들의 입을 통해 감상할 수 있는 갈라 콘서트가 개최되었다.,,,,,,,,,
191569,라스트 나잇 인 소호 : 네이버 영화,공포,,,,,,,,,,,,,,,,,,,
191545,라스트 듀얼: 최후의 결투 : 네이버 영화,액션,,,,,,,,,,,,,,,,,,,
181461,라스트 레터 : 네이버 영화,멜로/로맨스,,,,,,,,,,,,,,,,,,,
191553,라스트 레터 : 네이버 영화,멜로/로맨스,,,,,,,,,,,,,,,,,,,
184518,라야와 마지막 드래곤 : 네이버 영화,애니메이션,,,,,,,,,,,,,,,,,,,
201107,라이더스 오브 저스티스 : 네이버 영화,액션,15세 관람가, 2021.06.02,7.46,217,매즈 미켈슨,,,,,,,,,,,,,,
176746,라이브 하드 : 네이버 영화,드라마,15세 관람가, 2021.02.25,8.77,13,크리스 라이언,,,,,,,,,,,,,,
198621,라임크라임 : 네이버 영화,드라마,15세 관람가, 2021.11.25,8.68,73,이민우,,,,,,,,,,,,,,
